name,image_filepath,original_image_url,party,state,chamber,district
Cathleen Galgiani,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/galgiani-cathleen.jpg,Democratic,ca,Senate,5
Marie Waldron,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD75-Marie_Waldron.jpg,Republican,ca,Assembly,75
Connie M. Leyva,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator-leyva.jpg,Democratic,ca,Senate,20
"Steven S. Choi, Ph.D.",,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/choi.jpg,Republican,ca,Assembly,68
Cecilia M. Aguiar-Curry,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad04_aguiar-curry_roster150_20161205.jpg,Democratic,ca,Assembly,4
James Gallagher,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/Gallagher_LDC_headshot.jpg,Republican,ca,Assembly,3
Devon J. Mathis,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/mathis.jpg,Republican,ca,Assembly,26
Jordan Cunningham,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/cunningham.jpg,Republican,ca,Assembly,35
Ed Chau,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD49-Chau.jpg,Democratic,ca,Assembly,49
Mike Morrell,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/morrell_hs_7678_1_lls_2.jpg,Republican,ca,Senate,23
Ben Hueso,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/hueso-ben.jpg,Democratic,ca,Senate,40
Mark Stone,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad29.jpg,Democratic,ca,Assembly,29
Randy Voepel,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/voepel.jpg,Republican,ca,Assembly,71
Anthony J. Portantino,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/portantino_en_3444_lls_ed_v.jpg,Democratic,ca,Senate,25
Chad Mayes,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/Mayes_LDC_headshot.jpg,Republican,ca,Assembly,42
Phillip Chen,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/chen.jpg,Republican,ca,Assembly,55
Kevin Mullin,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD22-Mullin.jpg,Democratic,ca,Assembly,22
David Chiu,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD17_Chiu_Portrait150_20141201.jpg,Democratic,ca,Assembly,17
"Reginald Byron Jones-Sawyer, Sr.",,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/jones-sawyer-014-02-06-19.jpg,Democratic,ca,Assembly,59
Jesse Gabriel,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/jgabriel.jpg,Democratic,ca,Assembly,45
Freddie Rodriguez,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD52_Rodriguez_0.jpg,Democratic,ca,Assembly,52
Mike A. Gipson,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD64_Gipson_Portrait150_20141201.jpg,Democratic,ca,Assembly,64
Tom Daly,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD69-Daly.jpg,Democratic,ca,Assembly,69
Shirley N. Weber,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD79-Weber.jpg,Democratic,ca,Assembly,79
Marc Berman,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad24_berman_roster150_20161205.jpg,Democratic,ca,Assembly,24
Henry I. Stern,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/stern.jpg,Democratic,ca,Senate,27
Jim Beall,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/beall-jim_0.jpg,Democratic,ca,Senate,15
Bob Wieckowski,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/wieckowski_9781_lls.jpg,Democratic,ca,Senate,10
Adam C. Gray,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/gray.png,Democratic,ca,Assembly,21
Ian C. Calderon,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD57.jpg,Democratic,ca,Assembly,57
Jim Nielsen,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/nielsen-jim.jpg,Republican,ca,Senate,4
Patrick O'Donnell,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD70_ODonnell_Portrait150_20141201.jpg,Democratic,ca,Assembly,70
John M. W. Moorlach,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/moorlach_sd37.jpg,Republican,ca,Senate,37
Holly J. Mitchell,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/mitchell-holly.jpg,Democratic,ca,Senate,30
Bill Quirk,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad20.jpg,Democratic,ca,Assembly,20
Timothy S. Grayson,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad14_header.jpg,Democratic,ca,Assembly,14
Sabrina Cervantes,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad60_cervantes_roster150_20161205.jpg,Democratic,ca,Assembly,60
Hannah-Beth Jackson,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/jackson-hannah-beth.jpg,Democratic,ca,Senate,19
Patricia C. Bates,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/bates-patricia.jpg,Republican,ca,Senate,36
Steven M. Glazer,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/glazer-steven.jpg,Democratic,ca,Senate,7
Jacqui Irwin,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD44_Irwin_Portrait150_20141201.jpg,Democratic,ca,Assembly,44
Sydney Kamlager-Dove,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/kamlager-dove_0.jpg,Democratic,ca,Assembly,54
Eduardo Garcia,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD56_Garcia_Portrait150_20141201.jpg,Democratic,ca,Assembly,56
"Rudy Salas, Jr.",,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD32-Salas_0.jpg,Democratic,ca,Assembly,32
Evan Low,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad28-low.jpg,Democratic,ca,Assembly,28
Kevin McCarty,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD07_McCarty_Portrait150_20141201.jpg,Democratic,ca,Assembly,7
Richard D. Roth,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/roth-richard.jpg,Democratic,ca,Senate,31
Miguel Santiago,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD53_Santiago_Portrait150_20141201.jpg,Democratic,ca,Assembly,53
Jim Wood,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/asm_wood_120_x_170.jpg,Democratic,ca,Assembly,2
Scott D. Wiener,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/wiener.jpg,Democratic,ca,Senate,11
Frank Bigelow,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD05-Frank_Bigelow.jpg,Republican,ca,Assembly,5
Adrin Nazarian,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD46-Nazarian.jpg,Democratic,ca,Assembly,46
Blanca E. Rubio,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/rubio.jpg,Democratic,ca,Assembly,48
Richard Bloom,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD50-Bloom.jpg,Democratic,ca,Assembly,50
William P. Brough,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/Brough_LDC_headshot.jpg,Republican,ca,Assembly,73
Jose Medina,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD61-Medina_0.jpg,Democratic,ca,Assembly,61
Anthony Rendon,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad63-rendon_0.jpg,Democratic,ca,Assembly,63
Susan Talamantes Eggman,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD13.jpg,Democratic,ca,Assembly,13
Bill Monning,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/monning-bill.jpg,Democratic,ca,Senate,17
Chris R. Holden,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD41-Holden.jpg,Democratic,ca,Assembly,41
Eloise Gómez Reyes,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad47_reyes_roster150_20161205.jpg,Democratic,ca,Assembly,47
Luz M. Rivas,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a39_l_rivas.jpg,Democratic,ca,Assembly,39
Richard Pan,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/pan-richard.jpg,Democratic,ca,Senate,6
Monique Limón,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad37.jpg,Democratic,ca,Assembly,37
Ken Cooley,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD08-Cooley_0.jpg,Democratic,ca,Assembly,8
Melissa A. Melendez,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/MelissaMelendez.jpg,Republican,ca,Assembly,67
Robert M. Hertzberg,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/hertzberg_0705_lls_hsedcr.jpg,Democratic,ca,Senate,18
Jeff Stone,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/stone_7462_hs_2019_lls.jpg,Republican,ca,Senate,28
Jim Cooper,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD09_Cooper_Portrait150_20141201.jpg,Democratic,ca,Assembly,9
Kevin Kiley,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/kiley.jpg,Republican,ca,Assembly,6
Cristina Garcia,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/asm-c-garcia.jpg,Democratic,ca,Assembly,58
Benjamin Allen,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/ben-allen.jpg,Democratic,ca,Senate,26
Toni G. Atkins,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/atkins_toni.jpg,Democratic,ca,Senate,39
Vince Fong,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/fong.jpg,Republican,ca,Assembly,34
Todd Gloria,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad78_gloria_roster150_20161205.jpg,Democratic,ca,Assembly,78
Laura Friedman,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad43_friedman.jpg,Democratic,ca,Assembly,43
Jim Patterson,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD23-Jim_Patterson.jpg,Republican,ca,Assembly,23
Ash Kalra,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad27_karla_roster150_20161205.jpg,Democratic,ca,Assembly,27
Wendy Carrillo,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad51_carrillo_1.jpg,Democratic,ca,Assembly,51
Autumn R. Burke,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD62_Burke_Portrait150_20141201_v2.jpg,Democratic,ca,Assembly,62
Tom Lackey,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/lackey.png,Republican,ca,Assembly,36
Jim  Frazier,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad11_frazier.jpg,Democratic,ca,Assembly,11
Marc Levine,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD10-Levine_0.jpg,Democratic,ca,Assembly,10
Jay Obernolte,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/obernolte.png,Republican,ca,Assembly,33
Mike McGuire,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/mcguire-mike.jpg,Democratic,ca,Senate,2
Kansen Chu,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad25.jpg,Democratic,ca,Assembly,25
Philip Y.  Ting,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad19-ting_0.jpg,Democratic,ca,Assembly,19
Rob Bonta,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD18-Bonta.jpg,Democratic,ca,Assembly,18
Jerry Hill,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator_hill.jpg,Democratic,ca,Senate,13
Dr. Joaquin  Arambula,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad31_2.jpg,Democratic,ca,Assembly,31
Heath Flora,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/flora.jpg,Republican,ca,Assembly,12
Anna M. Caballero,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/2016-ad30_annacaballero.jpg,Democratic,ca,Senate,12
Christy Smith,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a38_c_smith.jpg,Democratic,ca,Assembly,38
Rebecca Bauer-Kahan,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a16_r_b_kahan.jpg,Democratic,ca,Assembly,16
Susan Rubio,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator_rubio.jpg,Democratic,ca,Senate,22
Tasha Boerner Horvath,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a76_t_b_horvath.jpg,Democratic,ca,Assembly,76
Lorena Gonzalez,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD80.jpg,Democratic,ca,Assembly,80
James C. Ramos,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a40_jc_ramos.jpg,Democratic,ca,Assembly,40
Melissa Hurtado,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator_hurtado_0.jpg,Democratic,ca,Senate,14
Brian W. Jones,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/brian_jones_headshot_blue.jpg,Republican,ca,Senate,38
Bob Archuleta,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/archuleta_bob.jpg,Democratic,ca,Senate,32
Cottie Petrie-Norris,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a74_c_p_norris.jpg,Democratic,ca,Assembly,74
Robert Rivas,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a30_r_rivas.jpg,Democratic,ca,Assembly,30
Thomas J. Umberg,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator_umberg.jpg,Democratic,ca,Senate,34
Maria Elena Durazo,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator_durazo.jpg,Democratic,ca,Senate,24
Buffy Wicks,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a15_b_wicks.jpg,Democratic,ca,Assembly,15
Andreas Borgeas,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/official_portrait_cropped_borgeas_4623_llsed1_2.jpg,Republican,ca,Senate,8
Tyler Diep,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/a72_t_diep.jpg,Republican,ca,Assembly,72
Brian Maienschein,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad77-brian_maienschein_120x150.jpg,Democratic,ca,Assembly,77
Brian Dahle,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator-dahle.jpg,Republican,ca,Senate,1
Lena A. Gonzalez,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator-lena-gonzalez.jpg,Democratic,ca,Senate,33
Megan Dahle,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/mdahle-ad01.gif,Republican,ca,Assembly,1
Shannon Grove,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator_grove.jpg,Republican,ca,Senate,16
Ling Ling Chang,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/180625_chang_150x220.jpg,Republican,ca,Senate,29
Al Muratsuchi,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad66.jpg,Democratic,ca,Assembly,66
Scott Wilk,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/wilk.jpg,Republican,ca,Senate,21
Nancy Skinner,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/skinner.jpg,Democratic,ca,Senate,9
Bill Dodd,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/dodd.jpg,Democratic,ca,Senate,3
Sharon Quirk-Silva,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad65_quirk-silva.jpg,Democratic,ca,Assembly,65
Steven Bradford,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/bradford.jpg,Democratic,ca,Senate,35
